Std_First_Name,Gender
Hussain,M
Sheikh Munir,M
Hamna,F
Jabbar,M
Rana Hayyat,M
Sheikh Yasin,M
Ajab,M
Raja Moeen,M
Zeba,F
Azam,M
Shujaat,M
Noor,F
Sharif,M
Bakht Tipo,M
Reema,F
Sajida,F
Shakir Shakeel,M
Pervaiz,M
Hayyat Osman,M
Mukhtar,M
Tahira,F
Fakhar,M
Sheikh Muzammil,M
Fazila,F
Waqas Ahsan,M
Adnan,M
Raja Aamir,M
Farha Abdul,F
Affan,M
Abdur Rahim Zahid,M
Choudhary Sana Ullah,M
Niaz,M
Roshan Abdus,F
Mohammad Farman,M
Sheharyar Najum,M
Sunera,F
Naseema,F
Hafiz Muzammil,M
Muamar,M
Sumreen,F
Abdur Rasheed,M
Abdul Malik Shakeel,M
Wajid Shaukat,M
Ikram Aun,M
Maha Yaar,F
Mustamsir Ajab,M
Ajmal,M
Abdul Najeeb,M
Sitara Iffan Salim,F
Choudhary Hameed,M
Tipu,M
Saalia,F
Rana Kamal,M
Mohammad Bakht,M
Wajida Choudhary Baqir,F
Agha Zahid,M
Moeen,M
Aneesa,F
Aga Qutab-ud-Din,M
Abdul Qadir,M
Munnawar Ali,M
Nirma,F
Shaheen,M
Durdana,F
Choudhary Alam,M
Syyed Ikram,M
Sadia Hameed Ajmal,F
Mohammad Ajab,M
Bakht,M
Feroza,F
Sibqat Haseeb,F
Junaid,M
Karam Illahi Rohail,M
Madiha,F
Yousaf,M
Afsheen,F
Saaleh Muazzum,M
Tipo Sameer,M
Mahnoor,F
Rai,M
Shahroze Badar,M
Tanvir,M
Irum,F
Sheikh Iqbal,M
Abdul Mannan,M
Zil-e-Huma Mohammad Yawar,F
Sharif,M
Amna Adul,F
Shams Ehsan,M
Mohammad Mahtab,M
Bushra,F
Iqbal,M
Amjad Noor,M
Ehsan,M
Farheen,F
Mudassir Adnan,M
Najum,M
Ambreen,F
Mukhtar,M
Rehana,F
Taimor,M
Shaheen Anwer,M
Mahjabeen,F
Rija,F
Fazal Azam,M
Sarwar,M
Benazir,F
Imran,M
Adil Aftab,M
Nafia,F
Aamir,M
Rehan,M
Sahibzada Sultan,M
Mohammad Hayyat,M
Bakht Jibran,M
Zafar,M
Hajira Choudhary Qasim,F
Rana Shariq,M
Jamal Abdus,M
Fatima Shujaat,F
Bashir,M
Iqbal Mehmood,M
Tayyaba,F
Kashif,M
Nadeem,M
Akram Ramzan,M
Qirat,F
Mohammad Shahid,M
Abdus Sattar Abdul Ahad,M
Wajiha,F
Imran Yaar,M
Arman Shehzad,M
Abdul Qadeer,M
Mohammad Mumtaz,M
Tamania Agha Ghulam Mustafa,F
Munnawar,M
Wajiha,F
Munir,M
Shahina,F
Tahir,M
Saeed Ajmal,M
Umaima,F
Mazhar,M
Rafi,M
Kina Kaleem Sabir,F
Kashif,M
Anjum Rana Ikram,F
Imran Shahzor,M
Atif,M
Ibraheem,M
Rukshanda Abdur Rasheed,F
Ahsan Abdur Rasheed,M
Mohammad Kamal,M
Khushbakht Sheikh Asif,F
Naeem,M
Abdul Mannan,M
Naseema,F
Sarwar,M
Aneela,F
Jabeen,F
Murtaza,M
Shariq Qutab-ud-Din,M
Asfia,F
Syyed Abdul Qadeer,M
Husain,M
Hasina,F
Zaran,M
Mohammad Sonil,M
Qudsia,F
Raja Adnan,M
Imran Ghani,M
Maryyum,F
Abdus Sammi,M
Ibraheem,M
Atiya,F
Nawabzada Shahzor,M
Nazar Muneer,M
Mahpara,F
Mahtab,M
Zarar Jan,M
Sahibzada Mumtaz,M
Fatima Zakir Iqbal,F
Mohammad Imtiaz,M
Alina Mohammad Muneer,F
Yosaf,M
Rayyan,M
Kanwal,F
Qaisar,M
Saalia,F
Shahid,M
Eman,F
Shammaa Baber Sammi,F
Shujaat,M
Nazeer Kishwar,M
Nafia Yawar Qudoos,F
Sahibzada Abdul Malik,M
Muslim,M
Syyeda,F
Emmad,M
Sheikh Niaz,M
Rohi,F
Aga Ismail,M
Akmal,M
Uzma,F
Rohail Adul,M
Uhad,M
Tayyaba,F
Aftab,M
Yaseen Nazar,M
Rozina,F
Nawabzada Saeed,M
Azam Nazir,M
Aliya Uhad Arman,F
Ali,M
Sahibzada Ayyaz,M
Abdur Rahim,M
Abdul Wasay,M
Zil-e-Ali,M
Zareen,F
Zamir Ghulam Yasin,M
Aga Kabir,M
Salma,F
Mujtaba Osman,M
